metricType,energyPercentage,FeatureExtractionMode,trainNums,knn_k,accuracy
0,10,2,1,5,0.6194444444444445
0,10,2,2,5,0.634375
0,10,2,3,5,0.6785714285714286
0,10,2,4,5,0.7875
0,10,2,5,5,0.755
0,10,2,6,5,0.85
0,10,2,7,5,0.8333333333333334
0,10,2,8,5,0.8875
0,10,2,9,5,0.9
0,20,2,1,5,0.675
0,20,2,2,5,0.696875
0,20,2,3,5,0.775
0,20,2,4,5,0.8083333333333333
0,20,2,5,5,0.885
0,20,2,6,5,0.9
0,20,2,7,5,0.9083333333333333
0,20,2,8,5,0.8875
0,20,2,9,5,0.925
0,30,2,1,5,0.6972222222222222
0,30,2,2,5,0.75
0,30,2,3,5,0.775
0,30,2,4,5,0.8666666666666667
0,30,2,5,5,0.875
0,30,2,6,5,0.93125
0,30,2,7,5,0.9166666666666666
0,30,2,8,5,0.9
0,30,2,9,5,0.9
0,40,2,1,5,0.8078697824808933
0,40,2,2,5,0.83125
0,40,2,3,5,0.7892857142857143
0,40,2,4,5,0.875
0,40,2,5,5,0.875
0,40,2,6,5,0.925
0,40,2,7,5,0.8666666666666667
0,40,2,8,5,0.9625
0,40,2,9,5,0.925
0,50,2,1,5,0.8078697824808933
0,50,2,2,5,0.746875
0,50,2,3,5,0.8214285714285714
0,50,2,4,5,0.8666666666666667
0,50,2,5,5,0.875
0,50,2,6,5,0.9625
0,50,2,7,5,0.925
0,50,2,8,5,0.9625
0,50,2,9,5,0.925
1,10,2,1,5,0.5722222222222222
1,10,2,2,5,0.69375
1,10,2,3,5,0.7857142857142857
1,10,2,4,5,0.8416666666666667
1,10,2,5,5,0.87
1,10,2,6,5,0.9
1,10,2,7,5,0.925
1,10,2,8,5,0.9625
1,10,2,9,5,0.95
1,20,2,1,5,0.5277777777777778
1,20,2,2,5,0.665625
1,20,2,3,5,0.8035714285714286
1,20,2,4,5,0.8458333333333333
1,20,2,5,5,0.915
1,20,2,6,5,0.925
1,20,2,7,5,0.9416666666666667
1,20,2,8,5,0.9625
1,20,2,9,5,0.95
1,30,2,1,5,0.4861111111111111
1,30,2,2,5,0.709375
1,30,2,3,5,0.7892857142857143
1,30,2,4,5,0.8333333333333334
1,30,2,5,5,0.875
1,30,2,6,5,0.90625
1,30,2,7,5,0.95
1,30,2,8,5,0.9625
1,30,2,9,5,0.95625
1,40,2,1,5,0.8078697824808933
1,40,2,2,5,0.68125
1,40,2,3,5,0.8035714285714286
1,40,2,4,5,0.8791666666666667
1,40,2,5,5,0.875
1,40,2,6,5,0.9375
1,40,2,7,5,0.9166666666666666
1,40,2,8,5,0.9875
1,40,2,9,5,0.975
1,50,2,1,5,0.8078697824808933
1,50,2,2,5,0.58125
1,50,2,3,5,0.7321428571428571
1,50,2,4,5,0.7833333333333333
1,50,2,5,5,0.86
1,50,2,6,5,0.91875
1,50,2,7,5,0.9416666666666667
1,50,2,8,5,0.975
1,50,2,9,5,0.95
2,10,2,1,5,0.575
2,10,2,2,5,0.771875
2,10,2,3,5,0.7571428571428571
2,10,2,4,5,0.8458333333333333
2,10,2,5,5,0.86
2,10,2,6,5,0.95
2,10,2,7,5,0.925
2,10,2,8,5,0.9375
2,10,2,9,5,0.975
2,20,2,1,5,0.5916666666666667
2,20,2,2,5,0.70625
2,20,2,3,5,0.8
2,20,2,4,5,0.8625
2,20,2,5,5,0.885
2,20,2,6,5,0.93125
2,20,2,7,5,0.9416666666666667
2,20,2,8,5,0.9625
2,20,2,9,5,0.975
2,30,2,1,5,0.5416666666666666
2,30,2,2,5,0.75625
2,30,2,3,5,0.7928571428571428
2,30,2,4,5,0.8666666666666667
2,30,2,5,5,0.9
2,30,2,6,5,0.9375
2,30,2,7,5,0.9416666666666667
2,30,2,8,5,0.925
2,30,2,9,5,0.9625
2,40,2,1,5,0.8078697824808933
2,40,2,2,5,0.609375
2,40,2,3,5,0.7678571428571429
2,40,2,4,5,0.8375
2,40,2,5,5,0.89
2,40,2,6,5,0.89375
2,40,2,7,5,0.925
2,40,2,8,5,0.95
2,40,2,9,5,0.975
2,50,2,1,5,0.8078697824808933
2,50,2,2,5,0.584375
2,50,2,3,5,0.7857142857142857
2,50,2,4,5,0.8
2,50,2,5,5,0.92
2,50,2,6,5,0.89375
2,50,2,7,5,0.9583333333333334
2,50,2,8,5,0.9625
2,50,2,9,5,0.975